"Производитель";"Код";"Название";"Наличие"
"Gauss               ";"53210                         ";"Лампа LED Elementary Шар 10W E27 3000K  ";"140.00"
"Gauss               ";"53212                         ";"Лампа LED Elementary Шар 12W E27 3000К  ";"2.00"
"Gauss               ";"53216                         ";"Лампа LED Elementary Globe 6W E27 2700K ";"125.00"
"Gauss               ";"53218                         ";"Лампа LED Elementary Шар 8W E27 3000K   ";"43.00"
"Gauss               ";"53220                         ";"Лампа LED Elementary Шар 10W E27 4100K  ";"67.00"
"Gauss               ";"53222                         ";"Лампа  LED Elementary Шар 12W E27 4100К ";"165.00"
"Gauss               ";"53226                         ";"Лампа LED Elementary Globe 6W E27 4100K ";"229.00"
"Gauss               ";"53228                         ";"Лампа LED Elementary Globe 8W E27 4100K ";"255.00"
"Gauss               ";"53238                         ";"Лампа LED Elementary Шар 8W E27 6500K   ";"119.00"
"Gauss               ";"613100100                     ";"Прожектор LED 100W IP65 6500К черный 690";"7.00"
"Gauss               ";"613100310                     ";"Прожектор LED 10W IP65 6500К черный 700 ";"38.00"
"Gauss               ";"613100320                     ";"Прожектор LED 20W IP65 6500К черный 1380";"26.00"
"Gauss               ";"613100330                     ";"Прожектор LED 30W IP65 6500К черный 2100";"68.00"
"Gauss               ";"613100370                     ";"Прожектор LED 70W IP65 6500К черный 4600";"1.00"
"Gauss               ";"70225                         ";"Лампа LED Elementary A67 35W E27 4100K  ";"37.00"
"Gauss               ";"70235                         ";"Лампа LED Elementary A67 35W E27 6500   ";"2.00"
"Gauss               ";"73219                         ";"Лампа LED Elementary A67 30W E27 3000K  ";"41.00"
"Gauss               ";"73225                         ";"Лампа LED Elementary A67 25W E27 4100K  ";"71.00"
"Gauss               ";"73229                         ";"Лампа LED Elementary A67 30W E27 4100K  ";"74.00"
"Gauss               ";"83811                         ";"Лампа LED Elementary GX53 11W 3000K 810l";"110.00"
"Gauss               ";"83816                         ";"Лампа LED Elementary GX53 6W 2700K 440lm";"Много"
"Gauss               ";"83819                         ";"Лампа LED Elementary GX53 9W 2700K      ";"Много"
"Gauss               ";"83821                         ";"Лампа LED Elementary GX53 11W 4100K     ";"Много"
"Gauss               ";"83823                         ";"Лампа LED Elementary GX53 13W 4100K 920l";"Много"
"Gauss               ";"83826                         ";"Лампа LED Elementary GX53 6W 4100K      ";"Много"
"Gauss               ";"83829                         ";"Лампа LED Elementary GX53 9W 4100K      ";"Много"
"GE LIGHTING         ";"FLE 9W/827/E14                ";"27934 КЛЛ Electronic Biax Eco 9W E14    ";"3.00"
"Kabel               ";"ВВГ-Пнг(А)3х1,5               ";"Кабель медный силовой негорючий         ";"Много"
"Kabel               ";"ВВГ-Пнг(А)3х2,5               ";"Кабель медный силовой негорючий         ";"Много"
"Kabel               ";"ВВГнг(А)-LS 3*4 ок-0,66       ";"Кабель медн.негорюч.с низк.дымо-и газовы";"5.00"
"Kabel               ";"ВВГнг2х1,5 пл                 ";"Кабель медный силовой негорючий         ";"Много"
"Kabel               ";"ВВГнг2х2.5 пл                 ";"Кабель медный,негорючий                 ";"Много"
"Kabel               ";"ПВС3х1,5                      ";"Провод медный гибкий                    ";"84.00"
"Kabel               ";"ПВС3х2,5                      ";"Провод медный гибкий                    ";"100.00"
"Kabel               ";"ПВС5х2,5                      ";"Провод медный гибкий                    ";"37.00"
"Kabel               ";"РК75-4.8-322(RG6)             ";"Кабель радиочастотный                   ";"Много"
"Kabel               ";"ШВВП2х0,5                     ";"Провод гибкий с двойной изоляцией       ";"438.00"
"Kabel               ";"ШВВП2х0,75                    ";"Провод медный                           ";"Много"
"Legrand             ";"01356                         ";"Щиток д/авт.выкл.2М Эко                 ";"112.00"
"Legrand             ";"01357                         ";"ЩИТОК Д/АВТ.ВЫКЛ.4М ЭКО                 ";"135.00"
"Legrand             ";"01412                         ";"Шкаф встр. 2ряда 24+4мод. белый         ";"17.00"
"Legrand             ";"01413                         ";"Распред. щит встр. 3X12MOD              ";"8.00"
"Legrand             ";"01414                         ";"Шкаф встр.д/авт.4х12+8М бел             ";"1.00"
"Legrand             ";"04285                         ";"Розетка 2Р+Т нем.ст.на DIN-рейку        ";"46.00"
"Legrand             ";"04484                         ";"Индикатор простой красный               ";"6.00"
"Legrand             ";"04884                         ";"Кросс-модуль 4Р 100А 70мм               ";"54.00"
"Legrand             ";"04888                         ";"Кросс-модуль 4Р 125А 140мм              ";"17.00"
"Legrand             ";"10419                         ";"Кабель-канал 80x50                      ";"Много"
"Legrand             ";"10429                         ";"Кабель-канал 105x50                     ";"Много"
"Legrand             ";"10582                         ";"Перегородка разделит. 50 мм             ";"Много"
"Legrand             ";"10602                         ";"Угол внутренний на выс.50мм             ";"77.00"
"Legrand             ";"10605                         ";"Угол внутренний 50х105                  ";"164.00"
"Legrand             ";"10622                         ";"Угол внешний на выс. 50мм               ";"9.00"
"Legrand             ";"10691                         ";"Накладка на стык короба 65мм            ";"237.00"
"Legrand             ";"10696                         ";"накладка на стык профиля                ";"Много"
"Legrand             ";"10700                         ";"Заглушка 105x50                         ";"Много"
"Legrand             ";"10722                         ";"Заглушка 80x35, 80х50                   ";"334.00"
"Legrand             ";"10735                         ";"DLP Отвод Т ш.80мм                      ";"62.00"
"Legrand             ";"10767                         ";"Угол плоский для 50х80                  ";"51.00"
"Legrand             ";"10786                         ";"Угол плоский для 50х105                 ";"95.00"
"Legrand             ";"10801                         ";"Накладка на стык крышки 65мм            ";"129.00"
"Legrand             ";"10952                         ";"Суппорт/Рамка 2 М Dlp Кр.65             ";"Много"
"Legrand             ";"10954                         ";"Суппорт/Рамка 4 М Dlp Кр.65             ";"Много"
"Legrand             ";"10956                         ";"Суппорт/Рамка 6 М Dlp Кр.65             ";"205.00"
"Legrand             ";"10958                         ";"Суппорт/Рамка 8 М Dlp Кр.65             ";"Много"
"Legrand             ";"30008                         ";"Плинтус 20х12.5 1отдел.                 ";"302.00"
"Legrand             ";"30015                         ";"Кабель канал пл. б/пер 32х12,5          ";"4.00"
"Legrand             ";"30017                         ";"Плинтус 32х20 1отдел.                   ";"18.00"
"Legrand             ";"30027                         ";"Плинтус 40х20 1отдел.                   ";"110.00"
"Legrand             ";"30092                         ";"Короб напольный 50х12                   ";"80.00"
"Legrand             ";"30093                         ";"Короб напольный 75х18                   ";"56.00"
"Legrand             ";"31613                         ";"Рамка компакт 4М                        ";"3.00"
"Legrand             ";"32751                         ";"Кабель Кат. 5e U/UTP PVC 305M           ";"Много"
"Legrand             ";"34211                         ";"Клеммник 4мм2 черный                    ";"143.00"
"Legrand             ";"34213                         ";"Клеммник 6мм2 черный                    ";"90.00"
"Legrand             ";"34215                         ";"Клеммник 10мм2 черный                   ";"29.00"
"Legrand             ";"37160                         ";"Клемма 2,5х5 стандартная                ";"111.00"
"Legrand             ";"39598                         ";"Фломастер черный                        ";"11.00"
"Legrand             ";"402024                        ";"Rx3 Вдт 30ма 25а 2п Ac                  ";"266.00"
"Legrand             ";"402025                        ";"Rx3 Вдт 30ма 40а 2п Ac                  ";"273.00"
"Legrand             ";"402026                        ";"Rx3 Вдт 30ма 63а 2п Ac                  ";"94.00"
"Legrand             ";"402033                        ";"Rx3 Вдт 300ма 40а 2п Ac                 ";"18.00"
"Legrand             ";"402063                        ";"Rx3 Вдт 30ма 40а 4п Ac                  ";"9.00"
"Legrand             ";"402067                        ";"Rx3 Вдт 100ма 40а 4п Ac                 ";"1.00"
"Legrand             ";"402071                        ";"Rx3 Вдт 300ма 40а 4п Ac                 ";"70.00"
"Legrand             ";"403000                        ";"ВДТ TX3  2П 25A 30MA -AC                ";"241.00"
"Legrand             ";"403001                        ";"ВДТ TX3  2П 40A 30MA -AC                ";"476.00"
"Legrand             ";"403002                        ";"Выкл.диф.тока (УЗО) TX3  2П 63A 30MA -AC";"81.00"
"Legrand             ";"403008                        ";"ВДТ TX3  4П 25A 30MA -AC                ";"20.00"
"Legrand             ";"403009                        ";"ВДТ TX3  4П 40A 30MA -AC                ";"22.00"
"Legrand             ";"403010                        ";"ВДТ TX3  4П 63A 30MA -AC                ";"1.00"
"Legrand             ";"403043                        ";"ВДТ TX3  4п 40a 300ma -AC               ";"1.00"
"Legrand             ";"403862                        ";"Aвт.выкл.TX3 B25A 1П 6000/10kA          ";"5.00"
"Legrand             ";"403916                        ";"Авт.выкл.TX3 C16А 1П 6000/10kA          ";"1.00"
"Legrand             ";"403921                        ";"Авт.выкл.TX3 C50А 1П 6000/10kA          ";"4.00"
"Legrand             ";"403922                        ";"Авт.выкл.TX3 C63А 1П 6000/10kA          ";"1.00"
"Legrand             ";"403969                        ";"Авт.выкл.TX3 B6A 1П 6000                ";"9.00"
"Legrand             ";"403970                        ";"Авт.выкл.TX3 B10A 1П 6000               ";"4.00"
"Legrand             ";"403972                        ";"Авт.выкл.TX3 B16A 1П 6000               ";"14.00"
"Legrand             ";"404025                        ";"Авт.выкл.TX3 C6A 1П 6000                ";"Много"
"Legrand             ";"404026                        ";"Авт.выкл.TX3 C10A 1П 6000               ";"Много"
"Legrand             ";"404028                        ";"Авт.выкл.TX3 C16A 1П 6000               ";"Много"
"Legrand             ";"404029                        ";"Авт.выкл.TX3 C20A 1П 6000               ";"Много"
"Legrand             ";"404030                        ";"Авт.выкл.TX3 C25A 1П 6000               ";"Много"
"Legrand             ";"404031                        ";"Авт.выкл.TX3 C32A 1П 6000               ";"Много"
"Legrand             ";"404032                        ";"Авт.выкл.TX3 C40A 1П 6000               ";"203.00"
"Legrand             ";"404033                        ";"Авт.выкл.TX3 C50A 1П 6000               ";"125.00"
"Legrand             ";"404034                        ";"Авт.выкл.TX3 C63A 1П 6000               ";"77.00"
"Legrand             ";"404039                        ";"Авт.выкл.TX3 C6A 2П 6000                ";"12.00"
"Legrand             ";"404040                        ";"Авт.выкл.TX3 C10A 2П 6000               ";"83.00"
"Legrand             ";"404042                        ";"Авт.выкл.TX3 C16A 2П 6000               ";"176.00"
"Legrand             ";"404043                        ";"Авт.выкл.TX3 C20A 2П 6000               ";"37.00"
"Legrand             ";"404044                        ";"Авт.выкл.TX3 C25A 2П 6000               ";"377.00"
"Legrand             ";"404045                        ";"Авт.выкл.TX3 C32A 2П 6000               ";"72.00"
"Legrand             ";"404046                        ";"Авт.выкл.TX3 C40A 2П 6000               ";"293.00"
"Legrand             ";"404047                        ";"Авт.выкл.TX3 C50A 2П 6000               ";"146.00"
"Legrand             ";"404048                        ";"Авт.выкл.TX3 C63A 2П 6000               ";"131.00"
"Legrand             ";"404053                        ";"Авт.выкл.TX3 C6A 3П 6000                ";"8.00"
"Legrand             ";"404054                        ";"Авт.выкл.TX3 C10A 3П 6000               ";"84.00"
"Legrand             ";"404056                        ";"Авт.выкл.TX3 C16A 3П 6000               ";"304.00"
"Legrand             ";"404057                        ";"Авт.выкл.TX3 C20A 3П 6000               ";"70.00"
"Legrand             ";"404058                        ";"Авт.выкл.TX3 C25A 3П 6000               ";"Много"
"Legrand             ";"404059                        ";"Авт.выкл.TX3 C32A 3П 6000               ";"301.00"
"Legrand             ";"404060                        ";"Авт.выкл.TX3 C40A 3П 6000               ";"144.00"
"Legrand             ";"404061                        ";"Авт.выкл.TX3 C50A 3П 6000               ";"129.00"
"Legrand             ";"404062                        ";"Авт.выкл.TX3 C63A 3П 6000               ";"150.00"
"Legrand             ";"404072                        ";"Авт.выкл.TX3 C25A 4П 6000               ";"68.00"
"Legrand             ";"404073                        ";"Авт.выкл.TX3 C32A 4П 6000               ";"37.00"
"Legrand             ";"404074                        ";"Авт.выкл.TX3 C40A 4П 6000               ";"18.00"
"Legrand             ";"404075                        ";"Авт.выкл.TX3 C50A 4П 6000               ";"14.00"
"Legrand             ";"404076                        ";"Авт.выкл.TX3 C63A 4П 6000               ";"30.00"
"Legrand             ";"404905                        ";"Клемма питания гребёнки Ф+Н 35мм2       ";"67.00"
"Legrand             ";"404906                        ";"Клемма питания гребёнки 35мм2           ";"56.00"
"Legrand             ";"404926                        ";"Шинка распред.на 12  мод.               ";"Много"
"Legrand             ";"404938                        ";"Гребёнка распред. 2П 12мод. 10 мм2 зуб  ";"236.00"
"Legrand             ";"404941                        ";"Гребёнка распред.Т/2П 56мод.16мм2       ";"2.00"
"Legrand             ";"404942                        ";"ГРЕБЕНКА РАСПР.3П 12М.10MM2 ЗУБ         ";"248.00"
"Legrand             ";"404943                        ";"Гребёнка распред. 3П 57мод. 16 мм2 зуб  ";"15.00"
"Legrand             ";"404990                        ";"ИЗОЛИР.ТОРЦ. ЗАГЛУШКА ДЛЯ ГРЕБЁНКИ      ";"5.00"
"Legrand             ";"406258                        ";"Кон-кт перекл.всп.1/2м CA               ";"5.00"
"Legrand             ";"406304                        ";"Пломб.крышка винта с шагом 1м           ";"162.00"
"Legrand             ";"406307                        ";"Дист.проставк.1/2м,отв.под пр.          ";"4.00"
"Legrand             ";"407205                        ";"Авт.выкл.DX3-E B10 1П 6000/6kA          ";"1.00"
"Legrand             ";"407260                        ";"Авт.выкл.DX3-E C6 1П 6000/6kA           ";"117.00"
"Legrand             ";"407261                        ";"Авт.выкл.DX3-E C10 1П 6000/6kA          ";"496.00"
"Legrand             ";"407263                        ";"Авт.выкл.DX3-E C16 1П 6000/6kA          ";"Много"
"Legrand             ";"407264                        ";"Авт.выкл.DX3-E C20 1П 6000/6kA          ";"445.00"
"Legrand             ";"407265                        ";"Авт.выкл.DX3-E C25 1П 6000/6kA          ";"Много"
"Legrand             ";"407266                        ";"Авт.выкл.DX3-E C32 1П 6000/6kA          ";"89.00"
"Legrand             ";"407267                        ";"Авт.выкл.DX3-E C40 1П 6000/6kA          ";"21.00"
"Legrand             ";"407268                        ";"Авт.выкл.DX3-E C50 1П 6000/6kA          ";"17.00"
"Legrand             ";"407269                        ";"Авт.выкл.DX3-E C63 1П 6000/6kA          ";"16.00"
"Legrand             ";"407277                        ";"Авт.выкл.DX3-E C16 2П 6000/6kA          ";"63.00"
"Legrand             ";"407279                        ";"Авт.выкл.DX3-E C25 2П 6000/6kA          ";"70.00"
"Legrand             ";"407280                        ";"Авт.выкл.DX3-E C32 2П 6000/6kA          ";"29.00"
"Legrand             ";"407281                        ";"Авт.выкл.DX3-E C40 2П 6000/6kA          ";"83.00"
"Legrand             ";"407282                        ";"Авт.выкл.DX3-E C50 2П 6000/6kA          ";"32.00"
"Legrand             ";"407283                        ";"Авт.выкл.DX3-E C63 2П 6000/6kA          ";"18.00"
"Legrand             ";"407289                        ";"Авт.выкл.DX3-E C10 3П 6000/6kA          ";"7.00"
"Legrand             ";"407291                        ";"Авт.выкл.DX3-E C16 3П 6000/6kA          ";"65.00"
"Legrand             ";"407292                        ";"Авт.выкл.DX3-E C20 3П 6000/6kA          ";"30.00"
"Legrand             ";"407293                        ";"Авт.выкл.DX3-E C25 3П 6000/6kA          ";"169.00"
"Legrand             ";"407294                        ";"Авт.выкл.DX3-E C32 3П 6000/6kA          ";"71.00"
"Legrand             ";"407295                        ";"Авт.выкл.DX3-E C40 3П 6000/6kA          ";"53.00"
"Legrand             ";"407296                        ";"Авт.выкл.DX3-E C50 3П 6000/6kA          ";"44.00"
"Legrand             ";"407297                        ";"Авт.выкл.DX3-E C63 3П 6000/6kA          ";"62.00"
"Legrand             ";"407307                        ";"Авт.выкл.DX3-E C25 4П 6000/6kA          ";"7.00"
"Legrand             ";"407309                        ";"Авт.выкл.DX3-E C40 4П 6000/6kA          ";"1.00"
"Legrand             ";"409280                        ";"Авт.выкл.DX3 3П C80A 10kA/16kA          ";"12.00"
"Legrand             ";"409281                        ";"Авт.вкл.DX3 3П C100A 10kA/16kA          ";"16.00"
"Legrand             ";"410993                        ";"АВДТ DX3 1П+Н C16А 10MA-AC              ";"1.00"
"Legrand             ";"411000                        ";"АВДТ DX3 1П+Н C10А 30MA-AC              ";"27.00"
"Legrand             ";"411002                        ";"АВДТ DX3 1П+Н C16А 30MA-AC              ";"483.00"
"Legrand             ";"411003                        ";"АВДТ DX3 1П+Н C20А 30MA-AC              ";"95.00"
"Legrand             ";"411004                        ";"АВДТ DX3 1П+Н C25А 30MA-AC              ";"376.00"
"Legrand             ";"411005                        ";"АВДТ DX3 1П+Н C32А 30MA-AC              ";"40.00"
"Legrand             ";"411006                        ";"АВДТ DX3 1П+Н C40А 30MA-AC              ";"19.00"
"Legrand             ";"411186                        ";"АВДТ DX3 4П C16А 30MA-AC                ";"19.00"
"Legrand             ";"411500                        ";"ВДТ DX3 2П 16А 10мА-AC                  ";"26.00"
"Legrand             ";"411505                        ";"ВДТ DX3 2П 40А 30мА-AC                  ";"59.00"
"Legrand             ";"411506                        ";"ВДТ DX3 2П 63А 30мА-AC                  ";"25.00"
"Legrand             ";"411515                        ";"ВДТ DX3 2П 40А 100мА-AC                 ";"87.00"
"Legrand             ";"411702                        ";"ВДТ DX3 4П 25А AC 30мА N справ          ";"3.00"
"Legrand             ";"411703                        ";"ВДТ DX3 4П 40А AC 30мА N справ          ";"20.00"
"Legrand             ";"411704                        ";"ВДТ DX3 4П 63А AC 30мА N справ          ";"5.00"
"Legrand             ";"411723                        ";"ВДТ DX3 4П 40А AC 300мА N спр.          ";"2.00"
"Legrand             ";"412400                        ";"CX3 Имп.реле 230V 1F 16A бесш.          ";"85.00"
"Legrand             ";"412501                        ";"CX3 Конт.быт.б/ш.230V  2Н0 25А          ";"71.00"
"Legrand             ";"412523                        ";"CX3 Контактор 230V 2НО 25А              ";"13.00"
"Legrand             ";"412535                        ";"CX3 Контактор 230V 4НО 25А              ";"32.00"
"Legrand             ";"412903                        ";"CX3 Перекл. 2ПК со ср.т. 32A            ";"16.00"
"Legrand             ";"419397                        ";"Rx3 Авдт 30ма 10а 1п+Н Ac               ";"112.00"
"Legrand             ";"419399                        ";"Rx3 Авдт 30ма 16а 1п+Н Ac               ";"Много"
"Legrand             ";"419400                        ";"Rx3 Авдт 30ма 20а 1п+Н Ac               ";"308.00"
"Legrand             ";"419401                        ";"Rx3 Авдт 30ма 25а 1п+Н Ac               ";"377.00"
"Legrand             ";"419402                        ";"Rx3 Авдт 30ма 32а 1п+Н Ac               ";"81.00"
"Legrand             ";"419403                        ";"Rx3 Авдт 30ма 40а 1п+Н Ac               ";"51.00"
"Legrand             ";"419661                        ";"Rx3 Авт.Выкл. 4,5ka 6а 1п C             ";"313.00"
"Legrand             ";"419662                        ";"Rx3 Авт.Выкл. 4,5ka 10а 1п C            ";"Много"
"Legrand             ";"419664                        ";"Rx3 Авт.Выкл. 4,5ka 16а 1п C            ";"Много"
"Legrand             ";"419665                        ";"Rx3 Авт.Выкл. 4,5ka 20а 1п C            ";"Много"
"Legrand             ";"419666                        ";"Rx3 Авт.Выкл. 4,5ka 25а 1п C            ";"Много"
"Legrand             ";"419667                        ";"Rx3 Авт.Выкл. 4,5ka 32а 1п C            ";"Много"
"Legrand             ";"419668                        ";"Rx3 Авт.Выкл. 4,5ka 40а 1п C            ";"Много"
"Legrand             ";"419669                        ";"Rx3 Авт.Выкл. 4,5ka 50а 1п C            ";"118.00"
"Legrand             ";"419670                        ";"Rx3 Авт.Выкл. 4,5ka 63а 1п C            ";"386.00"
"Legrand             ";"419695                        ";"Rx3 Авт.Выкл. 4,5ka 10а 2п C            ";"12.00"
"Legrand             ";"419697                        ";"Rx3 Авт.Выкл. 4,5ka 16а 2п C            ";"103.00"
"Legrand             ";"419698                        ";"Rx3 Авт.Выкл. 4,5ka 20а 2п C            ";"42.00"
"Legrand             ";"419699                        ";"Rx3 Авт.Выкл. 4,5ka 25а 2п C            ";"163.00"
"Legrand             ";"419700                        ";"Rx3 Авт.Выкл. 4,5ka 32а 2п C            ";"154.00"
"Legrand             ";"419701                        ";"Rx3 Авт.Выкл. 4,5ka 40а 2п C            ";"95.00"
"Legrand             ";"419702                        ";"Rx3 Авт.Выкл. 4,5ka 50а 2п C            ";"86.00"
"Legrand             ";"419703                        ";"Rx3 Авт.Выкл. 4,5ka 63а 2п C            ";"46.00"
"Legrand             ";"419705                        ";"Rx3 Авт.Выкл. 4,5ka 6а 3п C             ";"2.00"
"Legrand             ";"419706                        ";"Rx3 Авт.Выкл. 4,5ka 10а 3п C            ";"40.00"
"Legrand             ";"419708                        ";"Rx3 Авт.Выкл. 4,5ka 16а 3п C            ";"104.00"
"Legrand             ";"419709                        ";"Rx3 Авт.Выкл. 4,5ka 20а 3п C            ";"16.00"
"Legrand             ";"419710                        ";"Rx3 Авт.Выкл. 4,5ka 25а 3п C            ";"327.00"
"Legrand             ";"419711                        ";"Rx3 Авт.Выкл. 4,5ka 32а 3п C            ";"209.00"
"Legrand             ";"419712                        ";"Rx3 Авт.Выкл. 4,5ka 40а 3п C            ";"86.00"
"Legrand             ";"419713                        ";"Rx3 Авт.Выкл. 4,5ka 50а 3п C            ";"56.00"
"Legrand             ";"419714                        ";"Rx3 Авт.Выкл. 4,5ka 63а 3п C            ";"144.00"
"Legrand             ";"419743                        ";"Rx3 Авт.Выкл. 4,5ka 25а 4п C            ";"12.00"
"Legrand             ";"419744                        ";"Rx3 Авт.Выкл. 4,5ka 32а 4п C            ";"1.00"
"Legrand             ";"419747                        ";"Rx3 Авт.Выкл. 4,5ka 63а 4п C            ";"2.00"
"Legrand             ";"48944                         ";"Датчик движения PIR потолочн. IP41 360° ";"72.00"
"Legrand             ";"48945                         ";"Датчик движения PIR настен.IP42 140°    ";"49.00"
"Legrand             ";"48946                         ";"Датчик движения PIR наст. IP55 360°     ";"101.00"
"Legrand             ";"50162                         ";"Вилка 2К 6А белая                       ";"148.00"
"Legrand             ";"50163                         ";"Вилка 2К 6А черная                      ";"30.00"
"Legrand             ";"50166                         ";"Розетка 2К 6А белая                     ";"189.00"
"Legrand             ";"50172                         ";"Вилка 2К+З  белая                       ";"20.00"
"Legrand             ";"50173                         ";"Вилка 2К+З черная                       ";"7.00"
"Legrand             ";"50175                         ";"Вилка 2К+З  белая с рычагом             ";"23.00"
"Legrand             ";"50181                         ";"Вилка 2К 16А черная                     ";"127.00"
"Legrand             ";"50183                         ";"Вилка 2К 16А  белая                     ";"111.00"
"Legrand             ";"50184                         ";"Вилка 2К 16А черная                     ";"50.00"
"Legrand             ";"50187                         ";"Вилка 2К+З  белая                       ";"93.00"
"Legrand             ";"50188                         ";"Вилка 2К+З 16А белая                    ";"340.00"
"Legrand             ";"50189                         ";"Розетка 2К+З  белая                     ";"34.00"
"Legrand             ";"50190                         ";"Вилка 2К+З  белая                       ";"308.00"
"Legrand             ";"50191                         ";"Розетка 2К+З  белая                     ";"44.00"
"Legrand             ";"50194                         ";"Вилка 2К+З черная                       ";"33.00"
"Legrand             ";"50196                         ";"Вилка 2К+З черная IP44                  ";"352.00"
"Legrand             ";"50197                         ";"Розетка 2К+З черная                     ";"266.00"
"Legrand             ";"50199                         ";"Розетка 2К+З                            ";"69.00"
"Legrand             ";"50299                         ";"Ключ для розетки 2Р/2Р+Т                ";"52.00"
"Legrand             ";"50409                         ";"Вилка с индикатором 16А                 ";"32.00"
"Legrand             ";"50462                         ";"Вилка с розеткой 16A                    ";"4.00"
"Legrand             ";"50650                         ";"Розетка 4X2K 6A белый                   ";"4.00"
"Legrand             ";"50655                         ";"Розетка переносная 2x2P+E               ";"47.00"
"Legrand             ";"50656                         ";"Розетка переносная 3x2P+E               ";"54.00"
"Legrand             ";"50662                         ";"Розетка 3X2К+З  белая                   ";"52.00"
"Legrand             ";"50663                         ";"Розетка 3X2К+З  прозрачная              ";"24.00"
"Legrand             ";"50680                         ";"USB д/зарядки 1.5А бел                  ";"3.00"
"Legrand             ";"54001                         ";"Кор. под заливку 4мод.                  ";"24.00"
"Legrand             ";"54006                         ";"Уст. набор выдвиж. блока 4мод           ";"11.00"
"Legrand             ";"54008                         ";"Уст. набор выд.блока 8(2х4)мод          ";"1.00"
"Legrand             ";"54011                         ";"Выдв. блок 4мод. алюминий               ";"10.00"
"Legrand             ";"54021                         ";"Выдв. блок 4мод. нерж. сталь            ";"5.00"
"Legrand             ";"55152                         ";"Вилка 2Р+Т 20А 220V                     ";"63.00"
"Legrand             ";"55157                         ";"Вилка 3Р+N+Т 20А 380V                   ";"44.00"
"Legrand             ";"55422                         ";"Цоколь 2P+T 20А 220V 80х80              ";"80.00"
"Legrand             ";"55427                         ";"Цоколь 3Р+N+Т 20А 380V 80x80            ";"84.00"
"Legrand             ";"55439                         ";"Коробка накл. 82x82х40                  ";"26.00"
"Legrand             ";"55802                         ";"Вилка 2Р+Т 32А 220V                     ";"23.00"
"Legrand             ";"55807                         ";"Вилка 3Р+N+Т 32А 380V                   ";"55.00"
"Legrand             ";"55812                         ";"Цоколь 2Р+Т 32А 220V 100х100            ";"29.00"
"Legrand             ";"55817                         ";"Цоколь 3Р+N+Т 32А 380V 100х100          ";"47.00"
"Legrand             ";"55849                         ";"Коробка накл. 100x100x36                ";"21.00"
"Legrand             ";"601112                        ";"ЩИТОК ВСТРОЕННЫЙ 1x12 БЕЗ N&E           ";"2.00"
"Legrand             ";"601113                        ";"ЩИТОК ВСТРОЕННЫЙ 2x12 БЕЗ N&E           ";"3.00"
"Legrand             ";"601117                        ";"ЩИТОК ВСТРОЕННЫЙ 1x12 C N&E             ";"31.00"
"Legrand             ";"601118                        ";"ЩИТОК ВСТРОЕННЫЙ 2x12 C N&E             ";"37.00"
"Legrand             ";"601119                        ";"ЩИТОК ВСТРОЕННЫЙ 3x12 C N&E             ";"16.00"
"Legrand             ";"601248                        ";"Nedbox нав. 3х12м прозр.дв              ";"1.00"
"Legrand             ";"601974                        ";"Щиток Ip65; 4 Мод. С N+Pe               ";"7.00"
"Legrand             ";"601976                        ";"Щиток Ip65; 6 Мод. С N+Pe               ";"1.00"
"Legrand             ";"601981                        ";"Щиток Ip65; 1x12 Мод. С N+Pe            ";"4.00"
"Legrand             ";"601982                        ";"Щиток Ip65; 2x12 Мод. С N+Pe            ";"11.00"
"Legrand             ";"601983                        ";"Щиток Ip65; 3x12 Мод. С N+Pe            ";"4.00"
"Legrand             ";"604077                        ";"Индик. Зелен. 250В                      ";"3.00"
"Legrand             ";"638001                        ";"Накладка крышки 75 мм METRA             ";"55.00"
"Legrand             ";"638008                        ";"Перегородка для к/к METRA               ";"42.00"
"Legrand             ";"638011                        ";"Внутр. угол 100х50 фикс. METRA          ";"29.00"
"Legrand             ";"638012                        ";"Внеш. угол 100х50 фикс. METRA           ";"26.00"
"Legrand             ";"638013                        ";"Плоский угол 100х50 METRA               ";"49.00"
"Legrand             ";"638021                        ";"Внутренний угол 85x50 мм METRA          ";"10.00"
"Legrand             ";"638022                        ";"Внешний угол 85x50 мм METRA             ";"1.00"
"Legrand             ";"638026                        ";"Накладка профиля 85х50 METRA            ";"4.00"
"Legrand             ";"638031                        ";"Внутренний угол 100x50мм METRA          ";"14.00"
"Legrand             ";"638032                        ";"Внешний угол 100x50 мм METRA            ";"3.00"
"Legrand             ";"638034                        ";"Тройник 100x50 мм METRA                 ";"16.00"
"Legrand             ";"638080                        ";"Кабель-канал 85x50мм METRA              ";"168.00"
"Legrand             ";"638091                        ";"Внутренний угол 160x50мм METRA          ";"2.00"
"Legrand             ";"638133                        ";"Плоский угол 24x14 мм METRA             ";"3.00"
"Legrand             ";"638155                        ";"Заглушка 40x16 мм METRA                 ";"8.00"
"Legrand             ";"638190                        ";"Мини-канал 15x10мм METRA                ";"100.00"
"Legrand             ";"638195                        ";"Мини-канал 40x16 2 отд. METRA           ";"4.00"
"Legrand             ";"65001                         ";"CLN2 Накл. выкл.1к slim Белая           ";"5.00"
"Legrand             ";"65002                         ";"CLN2 Накл. выкл.2к slim Белая           ";"10.00"
"Legrand             ";"65102                         ";"CLN2 Накл. в.2к slim подсв.Тит          ";"2.00"
"Legrand             ";"65183                         ";"CLN2 Накл. дим.клав. Титан              ";"2.00"
