"Производитель";"Код";"Название";"Наличие"
"ABB                 ";"1SZR004002A1205               ";"Бокс в нишу 16М серая дверь Basic E (с к";"17.00"
"ABB                 ";"1SZR004002A1207               ";"Бокс в нишу 24М серая дверь Basic E (с к";"10.00"
"ABB                 ";"1SZR004002A1209               ";"Бокс в нишу 36М серая дверь Basic E (с к";"10.00"
"ABB                 ";"1SZR004002A2104               ";"Бокс навесной 12М белая дверь Basic E (с";"11.00"
"ABB                 ";"1SZR004002A2105               ";"Бокс навесной 16М белая дверь Basic E (с";"13.00"
"ABB                 ";"1SZR004002A2107               ";"Бокс навесной 24М белая дверь Basic E (с";"10.00"
"ABB                 ";"1SZR004002A2109               ";"Бокс навесной 36М белая дверь Basic E (с";"7.00"
"ABB                 ";"1SZR004002A2204               ";"Бокс навесной 12М серая дверь Basic E (с";"10.00"
"ABB                 ";"1SZR004002A2205               ";"Бокс навесной 16М серая дверь Basic E (с";"10.00"
"ABB                 ";"1SZR004002A2207               ";"Бокс навесной 24М серая дверь Basic E (с";"1.00"
"ABB                 ";"1SZR004002A2209               ";"Бокс навесной 36М прозрачная дверь с кле";"9.00"
"ABB                 ";"2011-0-3855                   ";"Розетка SCHUKO, альпийский белый        ";"118.00"
"ABB                 ";"2011-0-3857                   ";"Розетка SCHUKO, слоновая кость          ";"105.00"
"ABB                 ";"2CCS883001R0824               ";" Автом.выключат.3 полюс. S803C C100     ";"1.00"
"ABB                 ";"2CDL110001R1012               ";"1ф.шина к.h 12мод.PSH1/12               ";"Много"
"ABB                 ";"2CDL120001R1012               ";"2ф.шина к.h 12мод.PSH2/12               ";"96.00"
"ABB                 ";"2CDL130001R1012               ";"3ф.шина к.h 12мод.PSH3/12               ";"217.00"
"ABB                 ";"2CDL210001R1012               ";"1ф.шина комп. 12мод.63А PS1/12          ";"2.00"
"ABB                 ";"2CDL220001R1012               ";"2ф.шина комп. 12мод.63А PS2/12          ";"70.00"
"ABB                 ";"2CDS200909R0002               ";"Реле дист.расцепит.комп.110-415В S2C-A2 ";"90.00"
"ABB                 ";"2CDS241001R0064               ";"Автоматич.выкл-ль 1-пол. SH201L C6      ";"Много"
"ABB                 ";"2CDS241001R0104               ";"Автоматич.выкл-ль 1-пол. SH201L C10     ";"Много"
"ABB                 ";"2CDS241001R0105               ";"Автомат.выкл-ль 1-полюсной SH201L B10   ";"16.00"
"ABB                 ";"2CDS241001R0164               ";"Автоматич.выкл-ль 1-пол. SH201L C16     ";"Много"
"ABB                 ";"2CDS241001R0204               ";"Автоматич.выкл-ль 1-пол. SH201L C20     ";"Много"
"ABB                 ";"2CDS241001R0254               ";"Автоматич.выкл-ль 1-пол. SH201L C25     ";"Много"
"ABB                 ";"2CDS241001R0324               ";"Автоматич.выкл-ль 1-пол. SH201L C32     ";"Много"
"ABB                 ";"2CDS241001R0404               ";"Автоматич.выкл-ль 1-пол. SH201L C40     ";"Много"
"ABB                 ";"2CDS241001R0504               ";"Автомат.выкл-ль 1-пол SH201L C50        ";"Много"
"ABB                 ";"2CDS241001R0634               ";"Автомат.выкл-ль 1-полюсной SH201L C63   ";"Много"
"ABB                 ";"2CDS242001R0064               ";"Автоматич.выкл-ль 2-пол. SH202L C6      ";"223.00"
"ABB                 ";"2CDS242001R0104               ";"Автоматич.выкл-ль 2-пол. SH202L C10     ";"190.00"
"ABB                 ";"2CDS242001R0164               ";"Автоматич.выкл-ль 2-пол. SH202L C16     ";"Много"
"ABB                 ";"2CDS242001R0204               ";"Автоматич.выкл-ль 2-пол. SH202L C20     ";"Много"
"ABB                 ";"2CDS242001R0254               ";"Автоматич.выкл-ль 2-пол. SH202L C25     ";"Много"
"ABB                 ";"2CDS242001R0324               ";"Автоматич.выкл-ль 2-пол. SH202L C32     ";"Много"
"ABB                 ";"2CDS242001R0404               ";"Автоматич.выкл-ль 2-пол. SH202L C40     ";"Много"
"ABB                 ";"2CDS242001R0504               ";"Автомат.выкл-ль 2-пол SH202L C50        ";"Много"
"ABB                 ";"2CDS242001R0634               ";"Автомат.выкл-ль 2-пол SH202L C63        ";"Много"
"ABB                 ";"2CDS243001R0064               ";"Автоматич.выкл-ль 3-пол. SH203L C6      ";"116.00"
"ABB                 ";"2CDS243001R0104               ";"Автоматич.выкл-ль 3-пол. SH203L C10     ";"328.00"
"ABB                 ";"2CDS243001R0164               ";"Автоматич.выкл-ль 3-пол. SH203L C16     ";"Много"
"ABB                 ";"2CDS243001R0204               ";"Автоматич.выкл-ль 3-пол. SH203L C20     ";"Много"
"ABB                 ";"2CDS243001R0254               ";"Автоматич.выкл-ль 3-пол. SH203L C25     ";"Много"
"ABB                 ";"2CDS243001R0324               ";"Автоматич.выкл-ль 3-пол. SH203L C32     ";"Много"
"ABB                 ";"2CDS243001R0404               ";"Автоматич.выкл-ль 3-пол. SH203L C40     ";"Много"
"ABB                 ";"2CDS243001R0504               ";"Автомат.выкл-ль 3-полюсной SH203L C50   ";"Много"
"ABB                 ";"2CDS243001R0634               ";"Автомат.выкл-ль 3-полюсной SH203L C63   ";"Много"
"ABB                 ";"2CDS244001R0104               ";"Автоматич.выкл-ль 4-пол. SH204L C10     ";"10.00"
"ABB                 ";"2CDS244001R0164               ";"Автоматич.выкл-ль 4-пол. SH204L C16     ";"51.00"
"ABB                 ";"2CDS244001R0204               ";"Автоматич.выкл-ль 4-пол. SH204L C20     ";"50.00"
"ABB                 ";"2CDS244001R0254               ";"Автоматич.выкл-ль 4-пол. SH204L C25     ";"Много"
"ABB                 ";"2CDS244001R0324               ";"Автоматич.выкл-ль 4-пол. SH204L C32     ";"131.00"
"ABB                 ";"2CDS244001R0404               ";"Автоматич.выкл-ль 4-пол. SH204L C40     ";"201.00"
"ABB                 ";"2CDS244001R0504               ";"Автомат.выкл-ль 4-полюсной SH204L C50   ";"74.00"
"ABB                 ";"2CDS244001R0634               ";"Автомат.выкл-ль 4-полюсной SH204L C63   ";"75.00"
"ABB                 ";"2CDS251001R0064               ";"Автомат.выкл-ль 1-полюсной S201 C6      ";"440.00"
"ABB                 ";"2CDS251001R0104               ";"Автомат.выкл-ль 1-полюсной S201 C10     ";"412.00"
"ABB                 ";"2CDS251001R0164               ";"Автомат.выкл-ль 1-полюсной S201 C16     ";"425.00"
"ABB                 ";"2CDS251001R0204               ";"Автомат.выкл-ль 1-полюсной S201 C20     ";"64.00"
"ABB                 ";"2CDS251001R0254               ";"Автомат.выкл-ль 1-полюсной S201 C25     ";"487.00"
"ABB                 ";"2CDS251001R0255               ";"Автоматич.выкл-ль 1-полюсный S201 B25   ";"9.00"
"ABB                 ";"2CDS251001R0324               ";"Автомат.выкл-ль 1-полюсной S201 C32     ";"23.00"
"ABB                 ";"2CDS251001R0404               ";"Автомат.выкл-ль 1-полюсной S201 C40     ";"6.00"
"ABB                 ";"2CDS251001R0504               ";"Автомат.выкл-ль 1-полюсной S201 C50     ";"19.00"
"ABB                 ";"2CDS251001R0634               ";"Автомат.выкл-ль 1-полюсной S201 C63     ";"5.00"
"ABB                 ";"2CDS252001R0064               ";"Автомат.выкл-ль 2-полюсной S202 C6      ";"19.00"
"ABB                 ";"2CDS252001R0104               ";"Автомат.выкл-ль 2-полюсной S202 C10     ";"13.00"
"ABB                 ";"2CDS252001R0164               ";"Автомат.выкл-ль 2-полюсной S202 C16     ";"24.00"
"ABB                 ";"2CDS252001R0204               ";"Автомат.выкл-ль 2-полюсной S202 C20     ";"19.00"
"ABB                 ";"2CDS252001R0254               ";"Автомат.выкл-ль 2-полюсной S202 C25     ";"10.00"
"ABB                 ";"2CDS252001R0324               ";"Автомат.выкл-ль 2-полюсной S202 C32     ";"22.00"
"ABB                 ";"2CDS252001R0404               ";"Автомат.выкл-ль 2-полюсной S202 C40     ";"10.00"
"ABB                 ";"2CDS252001R0504               ";"Автомат.выкл-ль 2-полюсной S202 C50     ";"22.00"
"ABB                 ";"2CDS252001R0634               ";"Автомат.выкл-ль 2-полюсной S202 C63     ";"7.00"
"ABB                 ";"2CDS253001R0064               ";"Автомат.выкл-ль 3-полюсной S203 C6      ";"14.00"
"ABB                 ";"2CDS253001R0164               ";"Автомат.выкл-ль 3-полюсной S203 C16     ";"275.00"
"ABB                 ";"2CDS253001R0204               ";"Автомат.выкл-ль 3-полюсной S203 C20     ";"108.00"
"ABB                 ";"2CDS253001R0254               ";"Автомат.выкл-ль 3-полюсной S203 C25     ";"314.00"
"ABB                 ";"2CDS253001R0404               ";"Автомат.выкл-ль 3-полюсной S203 C40     ";"126.00"
"ABB                 ";"2CDS253001R0504               ";"Автомат.выкл-ль 3-полюсной S203 C50     ";"47.00"
"ABB                 ";"2CDS253001R0634               ";"Автомат.выкл-ль 3-полюсной S203 C63     ";"21.00"
"ABB                 ";"2CDS253001R0804               ";"Автомат.выкл-ль 3-полюсной S203-C80     ";"1.00"
"ABB                 ";"2CDS253001R0824               ";"Автомат.выкл-ль 3-полюсной S203-C100    ";"3.00"
"ABB                 ";"2CDS641041R0064               ";"BMS411C06-Авт.выкл.1P.6A.C.4,5кА        ";"104.00"
"ABB                 ";"2CDS641041R0104               ";"BMS411C10-Авт.выкл.1P.10A.C.4,5кА       ";"Много"
"ABB                 ";"2CDS641041R0164               ";"BMS411C16-Авт.выкл.1P.16A.C.4,5кА       ";"Много"
